STORE_NAME,REVIEW,TAG,TIME_밤에 방문,TIME_아침에 방문,TIME_저녁에 방문,TIME_점심에 방문,WAIT_encoded,HOW_예약 없이 이용,HOW_예약 후 이용,HOW_포장·배달 이용,PURPOSE_데이트,PURPOSE_회식,PURPOSE_여행,PURPOSE_일상,PURPOSE_비즈니스,PURPOSE_기념일,PURPOSE_나들이,PURPOSE_친목,PURPOSE_가족모임,WITH_WHOM_부모님,WITH_WHOM_아이,WITH_WHOM_지인・동료,WITH_WHOM_친구,WITH_WHOM_연인・배우자,WITH_WHOM_친척・형제,WITH_WHOM_기타,WITH_WHOM_혼자
1호스시,"초밥부터 돈까스까지 뭐하나 빠짐없이 맛있습니다
사장님도 너무너무 친절하시고 늘 만족하고 먹어요 🥰","['음식이 맛있어요', '친절해요', nan, nan, nan]",False,False,True,False,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1호스시,"연어초밥 못 먹을 뻔 했는데 다행히 주문 가능했어요!!
여전히 두툼하구 너무 맛있어요ㅠㅠ 덕분에 맛있는 클스마스 이브 보냅니다🎄","['음식이 맛있어요', '친절해요', nan, nan, nan]",False,False,True,False,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1호스시,오랜만에 매장에서 먹었는데 역시 너무 맛있어요,"['음식이 맛있어요', '친절해요', nan, nan, nan]",False,False,True,False,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1호스시,"사무실 야근하면서 시켜 먹었는데 맛은 있어요
조밥안에 밥양도 적당 하구요..살짝 간이 쎈거 같은건 개인 입맛에 따라 다른거니까요~^^","['음식이 맛있어요', '양이 많아요', '혼밥하기 좋아요', nan, nan]",False,False,True,False,1.0,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1호스시,맛있는 초밥 친절한 사장님,"['음식이 맛있어요', '가성비가 좋아요', '혼밥하기 좋아요', '친절해요', nan]",False,False,False,True,0.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
1호스시,올때마다 연어초밥 너무 맛있어용 ^.^ ♥️ ♥️ 친절하신 사장님 최고 ♥️ 잘먹구 갑니당 호호,"['음식이 맛있어요', '재료가 신선해요', '메뉴 구성이 알차요', '혼밥하기 좋아요', '친절해요']",False,False,False,True,0.0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1호스시,ㅇㅇ,"['친절해요', nan, nan, nan, nan]",False,False,False,True,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1호스시,음식은 맛있어요 개인적으로 간이조금 쎄네요,"['양이 많아요', '혼밥하기 좋아요', nan, nan, nan]",False,False,True,False,1.0,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1호스시,1호스시 그냥 사랑합니다 정말 다 맛있어요d=(^o^)=b,"['음식이 맛있어요', '친절해요', nan, nan, nan]",False,False,True,False,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1호스시,.,"[nan, nan, nan, nan, nan]",False,False,False,True,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
